Account ID,Contact Email (to),Contact First Name,Twins Email (from),Campaign
TWN1005,marla.roth1939@zorer.org,Marla,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1022360,ruby_murray6731@atink.com,Ruby,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1025177,ebbs8288@iatim.tech,Kendra,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028,kieth_garner4955@ovock.tech,Kieth,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028260,andersson9689@brety.org,Ally,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028282,cedrick@acrit.org,Cedrick,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028297,cork4962@famism.biz,Mya,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028341,nate_anderson9731@gompie.com,Nate,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028375,maage@infotech44.tech,Marissa,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028425,liam_edley1991@corti.com,Liam,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028470,angela.yarwood4023@yahoo.com,Angela,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028472,lemer@acrit.org,Lexi,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028486,julius@corti.com,Julius,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028520,owen_goldsmith6721@cispeto.com,Owen,peterthompson@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028535,jaris@nanoff.biz,Jamie,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028571,emerson4660@kideod.biz,Phillip,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028577,juark@acrit.org,Juliet,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028625,zara@eirey.tech,Zara,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028696,lillian@infotech44.tech,Lillian,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028705,luke.redden8702@elnee.tech,Luke,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028722,chuck@twace.org,Chuck,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028732,ron_hopkinson1922@eirey.tech,Ron,jackthomas@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1028886,lily.stevens6759@ubusive.com,Lily,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1029049,fox900@kideod.biz,Doug,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1029067,mahaw@cispeto.com,Margaret,aliwilson@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1029140,julia.gaynor5815@brety.org,Julia,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1029171,johnny@elnee.tech,Johnny,peterthompson@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1029222,morrison3796@atink.com,Johnny,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1029248,pason@brety.org,Paige,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1029258,denny_uttley1269@sveldo.biz,Denny,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1029272,chanelle_yarlett7911@vetan.org,Chanelle,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1029334,bryce_purvis6429@dionrab.com,Bryce,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1029339,kurt@cispeto.com,Kurt,jackthomas@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1029515,kieth_norris3044@supunk.biz,Kieth,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1029522,domenic@bungar.biz,Domenic,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1029610,strong5041@hourpy.biz,Renee,nicklandon@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1030592,rufus_hopkins7205@muall.tech,Rufus,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1031060,alher@jiman.org,Alba,peterthompson@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1031214,masey@jiman.org,Makenzie,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1031466,howard3391@gompie.com,Abdul,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1031672,maead@cispeto.com,Maria,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1031780,adeline@atink.com,Adeline,andrewerlandson@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1031984,irwin2949@ubusive.com,Logan,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1032261,elena.lewin2162@womeona.net,Elena,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1032708,renee_gaynor2102@tonsy.org,Renee,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1032744,miley@vetan.org,Miley,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1032874,tyson.woodcock9163@liret.org,Tyson,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1032887,chadwick@iatim.tech,Chadwick,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1032957,beatrice.abbey330@gembat.biz,Beatrice,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1032985,ivette.ross7197@jiman.org,Ivette,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1033503,bristol.neal6759@liret.org,Bristol,peterthompson@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1033659,erin@supunk.biz,Erin,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1033690,william@extex.org,William,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1034497,leroy.khan6612@sheye.org,Leroy,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1034990,roood@nickia.com,Rosalyn,majormanning@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1035052,liney@womeona.net,Liam,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1035139,simpson8399@naiker.biz,Sabrina,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1035260,cabot@gembat.biz,Catherine,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1035533,denny_foxley4673@womeona.net,Denny,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1035677,jaynn@atink.com,Javier,jackthomas@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1035897,daniel.salt5811@brety.org,Daniel,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1036111,rebecca_baxter2993@eirey.tech,Rebecca,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1036294,joton@kideod.biz,Joseph,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1037373,carl_nelson6456@yahoo.com,Carl,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1038192,wiham@ovock.tech,William,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1038418,chris@elnee.tech,Chris,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1040811,daron@bulaffy.com,Daron,majormanning@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1041778,daniel_king7997@tonsy.org,Daniel,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1041826,logan@joiniaa.com,Logan,jackthomas@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1041924,cameron_bishop1303@twipet.com,Cameron,peterthompson@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1041965,grngs@deons.tech,Greta,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1042824,ianson1248@irrepsy.com,Audrey,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1044622,gilmour3482@twace.org,Rowan,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1044624,josh.miller9847@guentu.biz,Josh,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1044675,blake@gompie.com,Blake,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1045411,moira.latham7675@fuliss.net,Moira,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1045515,belinda_forth416@gompie.com,Belinda,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1047990,logan.stevens8934@muall.tech,Logan,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
TWN1048,aleksandra@kideod.biz,Aleksandra,tickets@twinsbaseball.com,Campaign 1 (2 for 1 Offer)
