Account ID,Contact Email (to),Contact First Name,Twins Email (from),Campaign
TWN1190236,delor@typill.biz,Denis,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN1555861,hilton5947@joiniaa.com,Gwen,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN4468,melody@mafthy.com,Melody,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN3407790,mosch@twace.org,Moira,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN1350423,gloria.santos7954@nimogy.biz,Gloria,aliwilson@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN2168,john.poole8228@ubusive.com,John,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN815035,chester_kelly8444@deavo.com,Chester,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN1160,benjamin@mafthy.com,Tony,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN3169755,bolly@acrit.org,Boris,aliwilson@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN1597085,ronald.richardson7934@yahoo.com,Ronald,aliwilson@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN1398030,jaock@twipet.com,Jack,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN587095,whitehouse309@kideod.biz,Ronald,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN849109,chris.thompson7019@extex.org,Chris,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN628789,yates9272@dionrab.com,Zoe,aliwilson@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN586850,erick@iatim.tech,Erick,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN126015,hill5457@sheye.org,Abdul,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN3347760,hank_york9587@twipet.com,Hank,aliwilson@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN1194543,thompson3067@vetan.org,Hayden,aliwilson@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN653652,islee@supunk.biz,Leilani,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN951094,wright3978@kideod.biz,Sebastian,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN3222503,little7624@twace.org,William,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN1191655,lenes@deavo.com,Leilani,aliwilson@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN1714,louise.tyrrell3721@nanoff.biz,Chad,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN4351,rae.hopkinson7558@tonsy.org,Christy,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN1311342,kieth@nimogy.biz,Kieth,aliwilson@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN1153256,teden@famism.biz,Tess,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN3697779,aurelia_tanner4845@deavo.com,Abbey,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN946169,tony_adams1026@twace.org,Tony,aliwilson@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN664383,connor4039@naiker.biz,Carter,aliwilson@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN2945994,dakota.blackwall5052@cispeto.com,Dakota,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN3523965,hailey_james635@qater.org,Hailey,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN2340744,upton3387@typill.biz,Rick,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN3315869,joeld@kideod.biz,Jolene,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN1031170,kennedy3331@bauros.biz,Cassandra,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN1115199,hayden@infotech44.tech,Hayden,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN946639,sonya_rogan2197@zorer.org,Sonya,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN950912,oliver@sveldo.biz,Oliver,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN1850082,marshall6995@nickia.com,Candice,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN3409771,mater@yahoo.com,Maxwell,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN4786,stacy@mafthy.com,Stacy,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
TWN1032062,jagor@naiker.biz,Javier,tickets@twinsbaseball.com,Campaign 2 (Flex 40 Promo)
