Account ID,Contact Email (to),Contact First Name,Twins Email (from),Campaign
TWN3412410,melinda_villiger8279@naiker.biz,Melinda,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN881763,trisha_stewart3451@fuliss.net,Trisha,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN3295010,osmond6334@eirey.tech,Daron,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN1389062,parker2283@dionrab.com,Cecilia,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN3102336,deley@liret.org,Denis,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN1597422,miens@joiniaa.com,Miriam,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN3664325,manuel.hill2208@nickia.com,Manuel,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN946875,owen@fuliss.net,Owen,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN1160547,phillip_chester1917@bungar.biz,Phillip,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN3517069,josh_parker3704@ubusive.com,Josh,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN1554785,marie.glynn337@muall.tech,Marie,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN1333564,thornton3844@twace.org,Jazmin,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN1131456,felicity@fuliss.net,Felicity,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN3621116,liam_lunt8426@mafthy.com,Liam,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN1369882,samantha_lloyd5292@yahoo.com,Samantha,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN1138482,hayden@gompie.com,Hayden,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN1401869,clint.pratt1390@gompie.com,Clint,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN3641796,manuel_pearce4128@vetan.org,Manuel,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN2747025,helen.wellington7949@famism.biz,Helen,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN1202029,peter_payne9607@elnee.tech,Peter,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN234717,maxwell_flanders2165@sveldo.biz,Maxwell,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN1401346,miter@bulaffy.com,Mike,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
TWN662100,benson7296@hourpy.biz,Ramon,tickets@twinsbaseball.com,Campaign 4 (Game Time Update)
